OTU,Transect,MantelR,MantelP,Mantel.y.intercept,MoranP,MoranZ
OTU97_1011,1,0.162515621257131,0.031,0.278037659236283,0.189180640173128,0.000252891998914901
OTU97_10257,4,0.139629276504256,0.041,0.547208690211022,9.00348061572132e-06,0.0940629328805288
OTU97_10260,4,0.138723593293869,0.012,1.21664295879002,0.0266886099500876,0.0365046765739187
OTU97_10290,9,0.198265437531097,0.005,-0.00597166990143114,3.87827758547843e-05,0.0371118218421905
OTU97_1037,12,0.111475186285296,0.043,2.39578741377728,0.840340531275428,-0.0344174002210961
OTU97_10381,10,0.182795939612328,0.013,0.0694478846115672,9.39586139967474e-05,0.0429009030933169
OTU97_10555,4,0.175913044791339,0.022,0.373305075684999,0.662658495098231,-0.0404755545173973
OTU97_10625,9,0.21428814872337,0.006,-0.012530326016373,5.649569396593e-05,0.0562031335171872
OTU97_10650,10,0.178620649992596,0.024,0.367883991280285,0.000189062077463609,0.0738427424679729
OTU97_10690,10,0.154486119811153,0.047,0.102030072692064,0.00276333321851951,0.0370577170323727
OTU97_11000,12,0.168169951137706,0.025,0.068258786484831,0.259849561456662,-0.00375832376735999
OTU97_11135,1,0.147366099556928,0.028,0.456931468536149,0.0928811358174231,0.016533460091123
OTU97_11164,4,0.156056189756235,0.037,0.0827084313609008,0.00256972231295483,0.0359803970426715
OTU97_11256,10,0.153576865848465,0.044,0.0897985570193049,0.00281712089296926,0.0372822672189855
OTU97_11344,10,0.157067926383169,0.031,0.0661755881011825,0.00225754012261459,0.0269913085184266
OTU97_11407,12,0.158480557190244,0.042,0.0450719698023543,0.0337389337724259,0.00230712372863797
OTU97_11409,12,0.186719017711767,0.011,0.0749189812538266,0.00202951180339062,0.0335332116287432
OTU97_1144,12,0.168827132748522,0.026,0.659824188377251,0.370550747958954,-0.00571700344819608
OTU97_11455,12,0.17010711986968,0.033,0.0502105494134281,0.253362171861709,-0.00385626846347298
OTU97_11488,4,0.171209135683417,0.022,0.0151506189983398,0.659430489767928,-0.0358149256785063
OTU97_11525,4,0.147728518007332,0.042,0.124027004940815,0.561252670767431,-0.0402821594327385
OTU97_11529,4,0.174140440018572,0.019,0.0553293551356997,0.000197155891615619,0.0522894673558444
OTU97_1166,1,0.117567467315933,0.016,2.57320344396123,0.000848512174680627,0.0703747535526584
OTU97_11764,12,0.144950656698818,0.046,0.168905840597503,0.00611331327546893,0.0367320798612755
OTU97_1177,10,0.228921059494915,0.002,1.40390368269319,2.30171145276792e-06,0.108270339558031
OTU97_11815,12,0.176991664762242,0.024,0.281843790879903,0.380350099015322,-0.00559953912539336
OTU97_11862,1,0.158708756398018,0.034,0.243959340162997,0.00530556245263791,0.0479964127375014
OTU97_11927,6,0.152329240742925,0.048,0.0550039381600928,0.27720767436957,-0.00601672286731429
OTU97_11977,4,0.236035648400293,0.005,0.0939160474475251,0.00533026919993085,0.0415700584804486
OTU97_11978,4,0.191943766354486,0.008,0.261799458093397,0.00948497528598313,0.0413375521440301
OTU97_1202,4,0.168527330847273,0.02,0.0525153249665098,9.0301373190993e-05,0.0218716178668535
OTU97_12153,6,0.151297743342347,0.027,0.381279850146433,0.637616943197537,-0.0413351072016819
OTU97_12153,10,0.150938804584615,0.029,0.636041498038359,0.42542249749535,-0.00633193534435693
OTU97_1216,6,0.201652855253431,0.005,1.06084793968299,1.38124724990973e-08,0.138585470439383
OTU97_12395,1,0.156455370526837,0.041,0.0643021385820498,0.00250511568784817,0.0353731175045664
OTU97_12413,4,0.171981885960527,0.029,0.0450940109085616,0.236160646601459,-0.00510872547738367
OTU97_12427,1,0.123017965094455,0.047,0.628655499321021,0.00144594475335724,0.0635281632074711
OTU97_12852,4,0.119834803637141,0.043,0.846164603386413,0.0429234806928789,0.0305528637369663
OTU97_12857,4,0.155293675311986,0.031,0.166213878614239,0.30409720059727,-0.00319925008021144
OTU97_1286,6,0.175062822484482,0.006,2.21781536653008,1.06729664217653e-07,0.128019437258714
OTU97_1287,1,0.173902502424749,0.011,1.15559225861326,4.57099986661547e-06,0.0998145026294922
OTU97_12941,6,0.167040310824665,0.043,0.0696576568839143,0.263806633583589,-0.00390139004514834
OTU97_13061,10,0.233836799480613,0.003,0.0372900329170069,5.25620786895331e-08,0.10630873915351
OTU97_13147,10,0.151296559448201,0.036,0.0796108798682935,0.276365153153149,-0.0061287628400427
OTU97_1339,1,0.116813290237699,0.043,2.03291974533754,0.528429574645742,-0.01026004458445
OTU97_1339,6,0.361149870152366,0.001,1.19591843891481,0,0.216269323987396
OTU97_13413,4,0.274980031824966,0.001,0.0538715291543007,0.000811502582352741,0.0559447034678391
OTU97_1346,4,0.136497747804691,0.046,0.581477999523229,0.0238261363368821,0.0288160358619211
