OTU,Transect,MantelR,MantelP,Mantel.y.intercept,MoranP,MoranZ
OTU97_10062,1,0.277447365007525,0.001,0.0438123341320012,1.74337682068426e-08,0.12369046819464
OTU97_10323,9,0.260980395686288,0.004,0.0527125808583178,6.55744065301e-05,0.0780145965577719
OTU97_1033,9,0.192973640327995,0.026,0.0390113412720155,0.0130610987277027,0.0254272889116424
OTU97_10375,9,0.172190313184813,0.043,0.018596891666531,0.000994126975114362,0.0436444391667696
OTU97_1038,1,0.220648870129895,0.005,0.034089799677852,0.000836522571528331,0.0448406371261569
OTU97_10500,6,0.157281602009536,0.036,0.062324693079531,0.00227153371517308,0.0294560590177337
OTU97_10688,10,0.161441613913165,0.022,0.0952734835210988,0.832998594303203,-0.0241443704476134
OTU97_10735,6,0.200375892448016,0.007,-0.00404166104025255,4.27001645568748e-05,0.0393860746479893
OTU97_10758,12,0.1414534357966,0.048,0.062146805304464,0.00419946220516443,0.0362080373175413
OTU97_10784,6,0.191953485062863,0.01,0.0419842699391979,0.856957978255648,-0.0240847125376364
OTU97_10784,9,0.163504475729823,0.037,0.0526648994102029,0.830144067356117,-0.0340462532751444
OTU97_10973,4,0.169016720693995,0.024,0.145318315910276,0.81659183152923,-0.0345194777291061
OTU97_1101,6,0.235525774028793,0.001,0.295004807247058,2.6517436868545e-06,0.0927497560012761
OTU97_11179,4,0.16760910788116,0.012,0.883810442032879,0.00119545264369303,0.0673312986622873
OTU97_11205,6,0.1624054612962,0.037,0.0348947397952649,0.0370484913198623,0.00879706711939376
OTU97_11211,4,0.153971665084045,0.047,0.0353068192126529,0.0435397726236155,0.0156581577176712
OTU97_11282,9,0.173483664463325,0.038,0.0357152058483515,0.198534794737199,-0.00307028014844901
OTU97_1132,1,0.296173855895317,0.002,0.791830642230028,3.45283310831945e-08,0.132821707324361
OTU97_1145,1,0.1052249937375,0.044,2.18982376275501,0.0446789733719422,0.0307770194528147
OTU97_1145,4,0.171735803135821,0.031,0.0369119959980693,0.542590226061555,-0.0416169505652596
OTU97_11755,10,0.182989595560743,0.018,0.0844998674856685,0.00123252382421724,0.0394486258341551
OTU97_11835,4,0.190511271890547,0.008,0.0746690472791302,0.573679247510479,-0.0147991907085634
OTU97_11835,6,0.240673913940571,0.001,0.0259933854678237,8.69403613794617e-05,0.0690734883329832
OTU97_11847,9,0.190023791268741,0.034,0.0150319991936073,0.672349135568705,-0.037316142609822
OTU97_11949,4,0.327081613274116,0.001,0.109417920762545,1.59872115546023e-14,0.180252394531807
OTU97_11986,4,0.206889174071398,0.015,-0.00761445286561374,4.9750574431906e-05,0.0471833784602244
OTU97_120,9,0.246606609566812,0.004,-0.0473328953689953,2.35273489916921e-05,0.0660023949259654
OTU97_12546,10,0.209276204586643,0.013,0.128442938638193,1.44914100053128e-06,0.0981388783744637
OTU97_12628,10,0.180148013023288,0.027,0.0569390187916911,0.646576974673322,-0.0386663640331935
OTU97_12751,1,0.176677025103269,0.016,0.285424356325549,0.585636416231149,-0.0138969046051416
OTU97_13075,10,0.207863027412913,0.01,0.159245484542652,0.00286321179177329,0.0469889395979371
OTU97_1313,1,0.21275189958962,0.009,-0.00589839504983658,8.8380003290478e-05,0.0554259515773338
OTU97_13156,10,0.200066408222204,0.007,0.0736107637671188,0.00260255552426569,0.0446289718685328
OTU97_13186,12,0.180996521391461,0.021,0.0205243505472643,0.733582595519007,-0.0372225931868118
OTU97_1325,1,0.192810922253013,0.005,0.672993465426188,0.000423020979680944,0.0751615258365103
OTU97_13363,4,0.137973506592041,0.042,0.486960625999204,0.183939105204049,0.00899444513562291
OTU97_13378,1,0.148186297559758,0.041,0.482492999870802,1.63252471963027e-06,0.105085718259606
OTU97_13629,10,0.189305458581998,0.018,0.0218546133235415,0.761437395425655,-0.035081530405847
OTU97_1372,10,0.222323722865257,0.002,0.256684429872056,1.82375781143662e-09,0.133677560580091
OTU97_13806,12,0.156154726951444,0.042,0.042569869007811,0.0488981787630329,0.0148878030162522
OTU97_13920,4,0.140362187444165,0.04,0.146535508723652,0.300494945178502,-0.00254117671534457
OTU97_13965,1,0.131067138989398,0.048,0.416916934686142,3.9977822363646e-07,0.109914872245954
OTU97_14001,4,0.244855246849888,0.002,0.302194080666947,1.01070307678697e-09,0.143341495604609
OTU97_1429,10,0.190301900675859,0.007,1.00477807982952,0.000133602500052676,0.0833002528392458
OTU97_14582,1,0.168955816490966,0.029,0.0628836149905985,0.601476730875514,-0.0370973814858947
OTU97_14632,4,0.175974793509235,0.019,0.463837165034573,0.644726871417634,-0.0155240482065305
OTU97_14676,4,0.151503775957065,0.023,0.48364643456709,0.00115237345320329,0.0638122647645213
OTU97_14828,10,0.179075824779379,0.013,0.142154869380242,0.0597967252193379,0.017555354817802
OTU97_14888,9,0.189624383999188,0.019,0.0280398171918314,0.656390839466493,-0.0394463900085918
OTU97_14948,10,0.16564672491688,0.027,0.0508523985950838,0.264903054406763,-0.00392241601382337
OTU97_15145,12,0.155188618567254,0.042,0.0646328222088894,0.0494966398660905,0.0154844468452181
OTU97_15401,4,0.169406886548617,0.028,0.0369824347860151,0.560933903906425,-0.0394023531962927
OTU97_15738,10,0.16381448830175,0.04,0.0650249935866331,0.000238306761161322,0.0512787117219671
OTU97_15748,10,0.171717667072566,0.018,0.044590126416252,0.241433751575148,-0.00453096450336911
OTU97_15761,1,0.211902085987302,0.009,-0.00239538632166142,8.86522885079621e-05,0.0546831812202797
OTU97_15847,9,0.182641575899623,0.021,0.0212486866451129,0.000882686376246111,0.0447423417052451
OTU97_15881,12,0.200549491494828,0.013,0.0120795493766377,0.00011037865086938,0.0522487542680893
OTU97_1591,12,0.13738389356357,0.049,0.291697963441885,0.078773552808904,0.0169229987565927
OTU97_1594,6,0.125658175916639,0.049,1.16670766787664,0.115564458428446,0.0164181893016053
OTU97_15998,10,0.145344834891293,0.044,0.0083219062015718,0.033811835897013,-0.0208599336722259
OTU97_16397,4,0.164724319140955,0.017,0.239656434398269,0.843081380210179,-0.0341626932698582
OTU97_16485,9,0.165595855881814,0.041,0.0277752397638914,0.26163025574733,-0.00559910695333638
OTU97_1666,12,0.207775797818777,0.006,0.00685365620715724,9.2800854130326e-05,0.0571071081954808
OTU97_16792,10,0.162743785198266,0.024,0.382406536990813,0.53348664636909,-0.0113541422403713
OTU97_16936,10,0.162860580967616,0.042,0.0418731224007332,0.0408334057716961,0.016044864611433
OTU97_16976,4,0.146809959143456,0.039,0.350015505033868,0.108151774421291,0.0158526923447502
OTU97_1780,4,0.34046815842569,0.001,1.33543014297894,2.66453525910038e-14,0.193860462931251
OTU97_17890,12,0.206136461064433,0.015,0.00634991351104155,9.19602634799066e-05,0.0559742812053422
OTU97_1805,9,0.247999062851943,0.001,-0.0609922838167676,6.94292905145666e-06,0.0704800795695821
OTU97_1812,12,0.274143341573182,0.001,-0.0240118455848791,6.16064161240715e-07,0.0954336030839913
OTU97_182,9,0.233730708580032,0.006,0.693120338507802,0.0420480379374637,0.0256087336187049
