OTU,Transect,Range,Habitat,Max.abun,Kingdom,Phylum,Class,Order,Family,Genus,Species,SG,group
OTU97_3066,9,3.38366780264433,Ground,6.81584015937719,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Generalist,Ground Generalist
OTU97_315,6,0.227917688099644,Ground,5.276256912938,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_318,4,2.36925304892132,Ground,1.75803488970309,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Ground Generalist
OTU97_318,9,1.54431214008453,Ground,3.59561276120781,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Ground Generalist
OTU97_3187,4,1.60159971071026,Ground,6.75527839809051,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_319,9,0.24585614484161,Ground,8.3540016270741,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Generalist,Ground Generalist
OTU97_3226,1,0.713270441110853,Ground,4.47299476407275,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,,,Generalist,Ground Generalist
OTU97_3257,12,0.324494903988647,Ground,3.96081759683052,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Generalist,Ground Generalist
OTU97_3259,4,1.94397024877334,Ground,5.21590504888779,Fungi,Ascomycota,Dothideomycetes,,,,,Generalist,Ground Generalist
OTU97_3277,9,1.26106471861571,Ground,1.96499769345124,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Generalist,Ground Generalist
OTU97_3302,9,0.180798080613813,Ground,6.24580752312076,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Ground Generalist
OTU97_334,4,0.338886542931756,Ground,2.49431375393214,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Bjerkandera,Bjerkandera adusta ,Generalist,Ground Generalist
OTU97_3350,6,9.85824859394474,Ground,6.01489530114817,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Generalist,Ground Generalist
OTU97_3401,6,6.95626085322062,Ground,6.691200738523,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,,,Generalist,Ground Generalist
OTU97_3412,6,1.79403638217674,Ground,2.68204147856197,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,Generalist,Ground Generalist
OTU97_3454,4,3.28021293676094,Ground,6.18076537942889,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_3454,9,0.22330144970304,Ground,4.79071844387271,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_351,4,1.84127015520652,Ground,10.6734695130857,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,,Generalist,Ground Generalist
OTU97_3528,12,0.306098039005838,Ground,5.15854656018427,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,,Generalist,Ground Generalist
OTU97_3580,9,4.74583749864995,Ground,2.97968087588352,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Ground Generalist
OTU97_3608,6,4.63641120222398,Ground,5.92185138424676,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Generalist,Ground Generalist
OTU97_3659,10,4.54767993437038,Ground,2.14914233326812,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Generalist,Ground Generalist
OTU97_3772,4,0.828277226284,Ground,2.75789269494899,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_378,1,2.42784020099822,Ground,7.10727693367829,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Ground Generalist
OTU97_3801,1,2.24977891201346,Ground,3.68860027246948,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_3832,1,2.27773779102735,Ground,4.62148255745845,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,,,Generalist,Ground Generalist
OTU97_3832,6,1.77464363231564,Ground,4.25830570411507,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,,,Generalist,Ground Generalist
OTU97_386,1,0.263205810044439,Ground,6.04615417984749,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_3891,4,1.45126060645357,Ground,6.98614450767973,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_3899,12,0.319894549300808,Ground,3.36374241989086,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,,,Generalist,Ground Generalist
OTU97_3940,10,0.341995417200379,Ground,3.2904848481817,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Ground Generalist
OTU97_3970,6,0.317061111541033,Ground,3.54879353807095,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria sp ,Generalist,Ground Generalist
OTU97_4001,1,1.94694283950876,Ground,2.80041591195338,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Ground Generalist
OTU97_4016,4,4.10875358004366,Ground,7.08594373046933,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_4036,1,0.258006408002241,Ground,3.75878200750881,Fungi,Ascomycota,Dothideomycetes,,,,,Generalist,Ground Generalist
OTU97_404,1,0.232973010622384,Ground,5.41752115596699,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Ground Generalist
OTU97_4043,4,1.06400986952526,Ground,2.56537024433309,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_4043,6,3.12039779905182,Ground,4.94014305407909,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_4056,10,0.331744890996967,Ground,3.4702847840618,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_4121,10,1.49484045729829,Ground,5.83380453638696,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,,,Generalist,Ground Generalist
OTU97_4227,6,1.14561538217823,Ground,3.08954798752305,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_4363,10,0.203803835478482,Ground,6.27086335065097,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Generalist,Ground Generalist
OTU97_4372,9,0.305823164553712,Ground,1.77397148170094,Fungi,Ascomycota,Dothideomycetes,Hysteriales,Hysteriaceae,Rhytidhysteron,Rhytidhysteron rufulum ,Generalist,Ground Generalist
OTU97_439,4,1.0047350869148,Ground,7.57952612788954,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,,,Generalist,Ground Generalist
OTU97_44,6,1.04975179623276,Ground,4.04832342423832,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides ,Generalist,Ground Generalist
OTU97_441,4,4.43465657962827,Ground,7.78684288913479,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma podzolica ,Generalist,Ground Generalist
OTU97_441,6,3.5484912587086,Ground,3.41133963599749,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma podzolica ,Generalist,Ground Generalist
OTU97_4474,1,1.92057315404415,Ground,2.61540922278922,Fungi,Basidiomycota,Agaricomycetes,Atheliales,,,,Generalist,Ground Generalist
OTU97_449,4,3.28255745702757,Ground,7.95016924582169,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,,,Generalist,Ground Generalist
OTU97_4534,6,0.0280487164857636,Ground,6.12481888174001,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,,Generalist,Ground Generalist
OTU97_4571,1,2.52298226730519,Ground,2.38565621252459,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Stephanonectria,Stephanonectria keithii ,Generalist,Ground Generalist
OTU97_4624,4,0.0876016628865466,Ground,5.90687779301634,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,,Generalist,Ground Generalist
OTU97_470,9,1.53713760093839,Ground,5.06658061387667,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Generalist,Ground Generalist
OTU97_475,4,0.299142371001153,Ground,5.3757233671593,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_4807,1,3.33406668756581,Ground,5.24833162979175,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Ground Generalist
OTU97_485,1,2.07397887020432,Ground,4.16887483911715,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Ground Generalist
OTU97_4923,4,0.213035711561965,Ground,4.4175518466226,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,,,Generalist,Ground Generalist
OTU97_494,6,3.75781579958734,Ground,3.97162270412111,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_5024,6,0.366882223904452,Ground,2.75636157906557,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_5033,12,0.237020960597252,Ground,4.04145291402211,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Generalist,Ground Generalist
OTU97_5052,1,4.57374866155368,Ground,2.45238300822551,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Ground Generalist
OTU97_507,4,0.62648917699861,Ground,1.29049610918468,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Ground Generalist
OTU97_5081,6,1.81568587343294,Ground,3.34930520162376,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Generalist,Ground Generalist
OTU97_5132,1,0.241632830540092,Ground,5.79720087369998,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Generalist,Ground Generalist
OTU97_514,9,3.91359368012806,Ground,1.57902942291693,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_5201,4,1.92217893355869,Ground,5.66403901616703,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Generalist,Ground Generalist
OTU97_5243,12,4.45900488237334,Ground,2.06949614039111,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Ground Generalist
OTU97_5253,6,1.32141135800998,Ground,5.49862792394873,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_5266,12,1.80961713657974,Ground,4.52097240297962,Fungi,Ascomycota,Eurotiomycetes,,,,,Generalist,Ground Generalist
OTU97_527,1,0.213484605642602,Ground,10.0126918728769,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_532,12,0.244880795144816,Ground,4.9483287611364,Fungi,Ascomycota,Sordariomycetes,Xylariales,Sporocadaceae,Pseudopestalotiopsis,,Generalist,Ground Generalist
OTU97_5320,10,1.20150948088854,Ground,4.41820821877235,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Generalist,Ground Generalist
OTU97_5326,4,0.37734580460534,Ground,2.28930910242269,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_5336,12,3.32464453159375,Ground,4.48340919227092,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,Generalist,Ground Generalist
OTU97_542,10,8.55410693772061,Ground,9.94030836247445,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,Generalist,Ground Generalist
OTU97_5433,1,2.45836856059949,Ground,2.74038028665357,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_545,1,1.0807850682605,Ground,10.118334602717,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Generalist,Ground Generalist
OTU97_545,9,1.76597704733685,Ground,8.05578186911325,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Generalist,Ground Generalist
OTU97_5505,6,4.60360204705369,Ground,4.99593818496459,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Ground Generalist
OTU97_5578,9,4.75270514049495,Ground,2.78714095652274,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Generalist,Ground Generalist
OTU97_5578,12,0.332223922277568,Ground,2.19617755337363,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Generalist,Ground Generalist
OTU97_5595,6,6.51997730289117,Ground,3.5220245609657,Fungi,Basidiomycota,,,,,,Generalist,Ground Generalist
OTU97_561,1,0.255186607047002,Ground,3.66324767605466,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,,Generalist,Ground Generalist
OTU97_561,10,2.59406957690465,Ground,8.3010623930394,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,,Generalist,Ground Generalist
OTU97_574,9,3.47536770898402,Ground,2.93390572976662,Fungi,Basidiomycota,Agaricomycetes,Russulales,Wrightoporiaceae,Larssoniporia,Larssoniporia incrustatocystidiata ,Generalist,Ground Generalist
OTU97_5755,4,0.363868455899001,Ground,3.64869220104123,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_58,6,1.59888046868607,Ground,12.6521098538835,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrocybe,,Generalist,Ground Generalist
OTU97_5806,10,0.281336117212602,Ground,3.54141985079537,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Steccherinaceae,Flaviporus,Flaviporus liebmannii ,Generalist,Ground Generalist
OTU97_5864,10,0.251112112921248,Ground,4.48621348570402,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Generalist,Ground Generalist
OTU97_5994,1,0.367638913908013,Ground,2.20398383343053,Fungi,Basidiomycota,,,,,,Generalist,Ground Generalist
OTU97_5994,4,1.63496278504899,Ground,2.29501594371279,Fungi,Basidiomycota,,,,,,Generalist,Ground Generalist
OTU97_6003,4,2.81356147084329,Ground,5.07161246753183,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Daldinia,,Generalist,Ground Generalist
OTU97_6007,4,0.633270121554069,Ground,2.17264324021735,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,Generalist,Ground Generalist
OTU97_6012,6,3.52922502289379,Ground,5.47439676146468,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Asterostroma,,Generalist,Ground Generalist
OTU97_616,4,47.3963357333378,Ground,9.68149550990498,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,,Generalist,Ground Generalist
OTU97_6164,1,1.80287200601139,Ground,6.14047599941169,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_6164,4,0.306207052517585,Ground,3.06396119066564,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_6293,10,1.75572538148253,Ground,5.67197519344081,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_6350,6,2.7233184609587,Ground,5.34336429647186,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Ground Generalist
OTU97_64,10,1.87623225899382,Ground,10.9685621144621,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_641,9,1.75078559642968,Ground,8.54061362767995,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Acrocalymma,,Generalist,Ground Generalist
OTU97_656,6,1.1973222697977,Ground,2.50424523411231,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,Exidia,,Generalist,Ground Generalist
OTU97_6648,1,2.13403083853165,Ground,5.58247891695665,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,Generalist,Ground Generalist
OTU97_667,6,0.883486705807277,Ground,9.80218335307681,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,Generalist,Ground Generalist
OTU97_6890,6,1.46664352654054,Ground,2.7245140712175,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_6915,10,0.261257148111193,Ground,5.31790318856375,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_6929,10,0.343862194079384,Ground,2.14914233326812,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_70,1,0.427432506665456,Ground,2.15984109450605,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_703,1,0.0368908479593102,Ground,6.65403640409956,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_703,12,0.0749607738937237,Ground,9.7528575590885,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_712,9,3.30315052805311,Ground,9.66786231448771,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,Lambertella,,Generalist,Ground Generalist
OTU97_7359,6,1.22590681214517,Ground,4.12483822120695,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_7476,6,4.46293338091817,Ground,3.79661221954562,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_7517,6,0.259208269113177,Ground,1.67564678971255,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Botryobasidium,Botryobasidium sp ,Generalist,Ground Generalist
OTU97_758,1,2.17169981106106,Ground,8.55714964503723,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Ground Generalist
OTU97_7619,1,0.410026930617749,Ground,0.883943994001061,Fungi,Basidiomycota,,,,,,Generalist,Ground Generalist
OTU97_7661,4,2.85101122382935,Ground,3.07213045764458,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_7744,1,0.28504689137581,Ground,2.86715526081884,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_7744,4,0.0539099695902766,Ground,2.76882688083477,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_7777,6,3.44584475843787,Ground,4.88949957809937,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,Generalist,Ground Generalist
OTU97_78,9,2.45670016596834,Ground,2.93390572976662,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_7802,9,0.388586644263338,Ground,4.64181414501214,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Ground Generalist
OTU97_794,6,2.37003046202268,Ground,3.9890139388982,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_794,12,2.70083863765088,Ground,3.46667530105952,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_7973,10,2.69761891562785,Ground,3.73323185648672,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_804,9,0.171768844430107,Ground,5.38269400546474,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_8084,9,0.241342675988237,Ground,3.96388181567984,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,Generalist,Ground Generalist
OTU97_8213,1,0.229167757791266,Ground,4.9129918321132,Fungi,Ascomycota,Dothideomycetes,,,,,Generalist,Ground Generalist
OTU97_827,9,0.300638018823371,Ground,3.56439796186601,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_8296,4,2.07009222342274,Ground,2.6573230866899,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_8392,1,0.370632192808453,Ground,4.68837504344181,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Tetraplosphaeriaceae,Tetraplosphaeria,Tetraplosphaeria sasicola ,Generalist,Ground Generalist
OTU97_8721,4,0.305152537052966,Ground,3.07964908531375,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,,Generalist,Ground Generalist
OTU97_875,6,0.880778086749638,Ground,3.76668247373858,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_901,10,2.61277279200986,Ground,9.93823730569195,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_904,1,0.348906712883412,Ground,2.58455788844213,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_9082,6,4.72564338863974,Ground,0.948833808370952,Fungi,Ascomycota,Eurotiomycetes,,,,,Generalist,Ground Generalist
OTU97_9205,4,0.421997261450677,Ground,2.47934582104592,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Generalist,Ground Generalist
OTU97_9231,1,2.67766685170113,Ground,3.53917597064614,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora smithii ,Generalist,Ground Generalist
OTU97_9263,4,0.342482084450507,Ground,4.34228272802997,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Ground Generalist
OTU97_928,1,0.36457285271726,Ground,2.41866939892839,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,,Generalist,Ground Generalist
OTU97_9280,4,0.346739687483057,Ground,2.56537024433309,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_940,6,2.19946596979709,Ground,7.82485249190051,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Ground Generalist
OTU97_9475,1,0.28358360928721,Ground,4.27614475202222,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_958,4,1.02337372565749,Ground,10.2450660196888,Fungi,Ascomycota,,,,,,Generalist,Ground Generalist
OTU97_97,6,0.230791558552499,Ground,9.26869139646144,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Ground Generalist
OTU97_988,4,0.118885638241632,Ground,5.61728080475743,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,Generalist,Ground Generalist
OTU97_988,9,5.59471213254687,Ground,5.53468317758806,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,,Generalist,Ground Generalist
OTU97_9970,4,0.187280875069644,Ground,3.8361059694278,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Ground Generalist
OTU97_101,12,2.56800142928172,Understory,5.73575233995228,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,,Generalist,Understory Generalist
OTU97_10237,1,1.74960361244547,Understory,3.05589332560565,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Understory Generalist
OTU97_1024,12,0.967208608617138,Understory,6.97399938491722,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,,Generalist,Understory Generalist
OTU97_1027,4,3.09880775015027,Understory,9.83400378441213,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Incertae_sedis,Resinicium,Resinicium friabile ,Generalist,Understory Generalist
OTU97_1028,10,0.932560263164428,Understory,6.7378691993493,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Generalist,Understory Generalist
OTU97_1031,10,1.15303350735999,Understory,9.15176411864022,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Understory Generalist
OTU97_1032,1,3.38849187439461,Understory,6.58951562227144,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,,Generalist,Understory Generalist
OTU97_1049,4,0.294333364706864,Understory,3.37813322147838,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Papiliotrema flavescens ,Generalist,Understory Generalist
OTU97_1049,9,0.170385597312022,Understory,8.63629995745748,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,Papiliotrema,Papiliotrema flavescens ,Generalist,Understory Generalist
OTU97_1059,1,0.303104599878279,Understory,2.43869745662746,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Understory Generalist
OTU97_106,9,2.24539056928836,Understory,6.79854305478748,Fungi,Ascomycota,,,,,,Generalist,Understory Generalist
OTU97_1077,1,1.81814228950073,Understory,4.1468397212097,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Understory Generalist
OTU97_1077,9,1.11319756014601,Understory,4.57874493265825,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Understory Generalist
OTU97_1096,10,0.254818720433028,Understory,6.64526165697364,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,,,Generalist,Understory Generalist
OTU97_1123,10,1.02009580369096,Understory,7.6140797806822,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Generalist,Understory Generalist
OTU97_1125,6,1.89226139089317,Understory,8.17179857486764,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,Generalist,Understory Generalist
OTU97_11321,1,0.242985169553329,Understory,4.27040840651704,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Generalist,Understory Generalist
OTU97_11418,4,0.317601224416645,Understory,2.89806731583346,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,,Generalist,Understory Generalist
OTU97_1160,10,0.902584313060513,Understory,8.29512335360995,Fungi,Ascomycota,Dothideomycetes,,,,,Generalist,Understory Generalist
OTU97_1160,12,1.69338019085083,Understory,6.29715751763087,Fungi,Ascomycota,Dothideomycetes,,,,,Generalist,Understory Generalist
OTU97_1162,1,1.40290099460074,Understory,6.65474996912426,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Understory Generalist
OTU97_1162,4,0.277386718964496,Understory,9.32812648795584,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Understory Generalist
OTU97_1162,10,1.40890761584359,Understory,6.39852212422333,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Understory Generalist
OTU97_1176,4,0.221905729475033,Understory,4.33814779187226,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,Generalist,Understory Generalist
OTU97_1178,10,8.14278084322218,Understory,8.7849659090503,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,,,Generalist,Understory Generalist
OTU97_1192,1,0.124695705619758,Understory,5.84446442613112,Fungi,Basidiomycota,Agaricomycetes,,,,,Generalist,Understory Generalist
OTU97_1198,1,2.62194842526829,Understory,4.58595136584338,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Understory Generalist
OTU97_1198,4,0.307222658674707,Understory,7.25753445784999,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,Generalist,Understory Generalist
OTU97_12,1,6.44075695166926,Understory,13.0056753846659,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,,,Generalist,Understory Generalist
OTU97_1205,4,1.36317307638222,Understory,8.3107838905809,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,,,Generalist,Understory Generalist
OTU97_1207,1,0.263020331255256,Understory,4.10189220490535,Fungi,Ascomycota,Dothideomycetes,,,,,Generalist,Understory Generalist
OTU97_12131,4,1.79207986250246,Understory,2.56238951160172,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,,,Generalist,Understory Generalist
OTU97_12254,1,1.87526639342863,Understory,3.69307382796574,Fungi,Ascomycota,Sordariomycetes,,,,,Generalist,Understory Generalist
OTU97_126,9,0.233276093225033,Understory,9.72518376451718,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Generalist,Understory Generalist
OTU97_1293,1,5.08189192506419,Understory,6.5291888686308,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Phlebia,,Generalist,Understory Generalist
