OTU,Transect,MantelR,MantelP,Mantel.y.intercept,MoranP,MoranZ
OTU97_10093,10,0.184499686474426,0.015,0.401777836531902,0.0539477297206459,0.0258548687584913
OTU97_101,6,0.237760461502233,0.002,1.12484652036968,5.74760639082683e-09,0.138224503363327
OTU97_1021,4,0.227735553034041,0.003,0.2989131110705,1.23806078846656e-05,0.0814522000246618
OTU97_1023,10,0.121349450000586,0.044,2.10744214348277,0.0356792709154219,0.0323583883055007
OTU97_1024,12,0.167469230092774,0.013,0.0237618133447381,8.6925532703841e-05,0.0194212848017062
OTU97_1028,1,0.137592553678229,0.035,0.673971108057661,0.0518900167021386,0.0275521285581794
OTU97_10322,9,0.175358826196946,0.026,0.0105965505551464,0.00016620431770642,0.0443532444960283
OTU97_10657,10,0.171570289122775,0.021,0.0182232690515612,0.000117688981635444,0.0297935335026754
OTU97_1077,6,0.1647900344843,0.02,0.303378091695003,0.00389003579859915,0.0500144764261803
OTU97_108,6,0.195396523564623,0.008,1.47661039374648,0.00154374020542569,0.0568814379414856
OTU97_1088,6,0.143028095696629,0.032,0.945929576163354,0.65389912492009,-0.0155189039436295
OTU97_1091,10,0.159932612304405,0.03,0.0780068426555069,0.0028949079209224,0.0066931376656713
OTU97_1095,1,0.159210333190475,0.043,0.0340404913697541,0.0417960710292999,0.0163366422065226
OTU97_1116,1,0.213008299575941,0.006,-0.0149906860457214,5.78547489027414e-05,0.0543478104779605
OTU97_11212,6,0.247301138452727,0.002,0.12895722775188,2.1146011377482e-06,0.0990313872939281
OTU97_11260,10,0.161062715843174,0.038,0.0501777472655817,0.0400075773419275,0.01672498948423
OTU97_1160,6,0.136879572536744,0.027,0.67937617848112,0.247894140415867,0.00513069459690203
OTU97_1160,12,0.245721740583505,0.003,0.27249319403543,1.03772985382555e-05,0.0892248146147464
OTU97_1162,10,0.100076018101161,0.044,1.11607978212728,1.81006567605557e-05,0.0967305226231328
OTU97_1168,6,0.154663516836368,0.04,0.0469729274830985,0.0026722305820337,0.0370813095565221
OTU97_1181,1,0.127749588126737,0.027,1.15221158760875,0.560790309681482,-0.0118380533946132
OTU97_1184,4,0.163903953439166,0.007,1.81348067540578,0.0670568448591626,0.0254242990793919
OTU97_1189,6,0.329258647234465,0.001,0.561329679801394,0,0.209503134253878
OTU97_1192,1,0.230236240352558,0.003,0.0278286672445873,0.132137549579759,0.0080800444904076
OTU97_1198,10,0.225428514933371,0.006,0.325001464836409,7.65422170090346e-10,0.141888328256536
OTU97_1198,12,0.198525332304118,0.01,0.0452758340466093,0.00121854924232112,0.0461636101654216
OTU97_1205,1,0.144597087315661,0.046,0.0624896509093746,0.00300165711674127,0.0357996180186641
OTU97_12102,10,0.172809528032699,0.006,-0.000894915844992288,1.63619661945891e-05,0.00756283237530515
OTU97_12254,1,0.171806290198572,0.03,0.0257622147031446,0.226149874329569,-0.0060305644087304
OTU97_1246,9,0.0900187349862426,0.038,1.85500952511842,0.00417263547265478,0.0560566812327321
OTU97_1249,10,0.133418166166939,0.049,0.507700810291154,7.05381873269406e-05,0.0815791253242964
OTU97_1256,4,0.266821799292288,0.001,1.71411860632775,3.29426699074986e-06,0.107808778095736
OTU97_126,4,0.151867214040894,0.03,0.0807068343040565,0.932347559279245,-0.0278659472206945
OTU97_1280,6,0.145610540378775,0.012,1.50429929339022,0.00148876849834423,0.0645303536787246
OTU97_12975,9,0.170663349690901,0.023,0.0246331565364772,0.250526837958605,-0.00396503423950481
OTU97_1341,4,0.155149211281052,0.007,1.65340179696098,3.39588992259721e-07,0.121892475023969
OTU97_1343,1,0.285556398372311,0.002,-0.0334572520775351,6.70945610181661e-09,0.114157917044758
OTU97_1343,6,0.161978248246169,0.046,0.124413029340767,0.0412247165185802,0.0163361624770476
OTU97_1344,1,0.171564106491428,0.015,1.25880077958182,0.000176351952212661,0.0766006119019137
OTU97_1344,9,0.186797950151129,0.016,0.122876056769499,0.000540579153556209,0.0496612810425205
OTU97_1348,9,0.180295745854946,0.019,0.16768565790381,0.00141771197236462,0.0532719219574062
OTU97_1354,9,0.16359503295923,0.02,0.338052340826151,0.0188514743606976,0.0368421729640694
OTU97_1379,6,0.176965726127945,0.01,0.724033612397443,4.99944545151454e-05,0.0893643345094155
OTU97_1379,9,0.138224715169994,0.047,0.201634937047058,0.00659540230112388,0.0422560872751131
OTU97_1401,9,0.154913765835626,0.021,0.934938432156944,0.485841283781574,-0.00899341723625711
OTU97_1403,10,0.113042184888696,0.049,1.39935840286307,0.00219557628822709,0.0601643110371561
OTU97_14075,6,0.118079418486104,0.044,0.625157224131067,0.17454102790285,0.0105182424406295
OTU97_1437,4,0.169949818538758,0.031,0.0858502826242513,0.776414827777873,-0.0214640356320781
OTU97_1454,4,0.130792560120764,0.041,0.47915560970962,5.09879403935987e-05,0.0838610539853321
OTU97_14646,4,0.172474161804318,0.017,0.253466332563304,0.186593516861641,0.00581283124977023
